Date,keywords,Institute,Paper
2017-06,Transformers,Google,[Attention Is All You Need](https://arxiv.org/pdf/1706.03762.pdf)
2018-06,GPT 1.0,OpenAI,[Improving Language Understanding by Generative Pre-Training](https://www.cs.ubc.ca/~amuham01/LING530/papers/radford2018improving.pdf)
2018-10,BERT,Google,[BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding](https://aclanthology.org/N19-1423.pdf)
2019-02,GPT 2.0,OpenAI,[Language Models are Unsupervised Multitask Learners](https://d4mucfpksywv.cloudfront.net/better-language-models/language_models_are_unsupervised_multitask_learners.pdf)
2019-09,Megatron-LM,NVIDIA,[Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism](https://arxiv.org/pdf/1909.08053.pdf)
2019-10,T5,Google,[Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer](https://jmlr.org/papers/v21/20-074.html)
2019-10,ZeRO,Microsoft,[ZeRO: Memory Optimizations Toward Training Trillion Parameter Models](https://arxiv.org/pdf/1910.02054.pdf)
2020-01,Scaling Law,OpenAI,[Scaling Laws for Neural Language Models](https://arxiv.org/pdf/2001.08361.pdf)
2020-05,GPT 3.0,OpenAI,[Language models are few-shot learners](https://papers.nips.cc/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf)
2021-01,Switch Transformers,Google,[Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity](https://arxiv.org/pdf/2101.03961.pdf)
2021-08,Codex,OpenAI,[Evaluating Large Language Models Trained on Code](https://arxiv.org/pdf/2107.03374.pdf)
2021-08,Foundation Models,Stanford,[On the Opportunities and Risks of Foundation Models](https://arxiv.org/pdf/2108.07258.pdf)
2021-09,FLAN,Google,[Finetuned Language Models are Zero-Shot Learners](https://openreview.net/forum?id=gEZrGCozdqR)
2021-10,T0,HuggingFace et al.,[Multitask Prompted Training Enables Zero-Shot Task Generalization](https://arxiv.org/abs/2110.08207)
2021-12,GLaM,Google,[GLaM: Efficient Scaling of Language Models with Mixture-of-Experts](https://arxiv.org/pdf/2112.06905.pdf)
